obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref,Aki(s^-1),Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k
586.985072,1.7e-05,586.985066,4e-06,700,L18702,,,,,,,,,
587.00522,6e-05,587.005201,4e-06,150,L5951,,,,,,,,,
587.04625,0.00017,587.046944,1.4e-05,100,L12239,,,,,,,,,
587.118265,1.7e-05,587.118273,4e-06,680,L18702,,,,,,,,,
587.1405,0.0003,587.140068,1.1e-05,160,L3552,,,,,,,,,
587.28842,5e-05,587.288671,1.4e-05,220bl,L5951,,,,,,,,,
587.3332,0.0003,587.332862,1.8e-05,110,L3552,,,,,,,,,
587.3462,0.0003,587.345903,1.8e-05,86,L3552,,,,,,,,,
587.392,0.0003,587.391396,1.8e-05,42,L3552,,,,,,,,,
587.40382,5e-05,587.403819,5e-06,210,L5951,,,,,,,,,
587.49865,4e-05,587.498624,1.4e-05,340,L5951,,,,,,,,,
587.7186,0.0003,587.718556,1.4e-05,21,L3552,,,,,,,,,
587.7552,0.0003,587.756087,2.4e-05,11,L12239,,,,,,,,,
587.7678,0.0003,587.767782,1.4e-05,11,L12239,,,,,,,,,
587.77845,0.00021,587.77829,6e-05,73,L12239,,,,,,,,,
587.82763,6e-05,587.827872,2.4e-05,140*,L5951,,,,,,,,,
587.89266,0.00017,587.893346,8e-06,100,L12239,,,,,,,,,
587.91265,5e-05,587.912594,5e-06,180,L5951,,,,,,,,,
588.1065,0.0003,588.10692,1.8e-05,43,L3552,,,,,,,,,
588.1988,0.0003,588.198301,2.1e-05,21,L3552,,,,,,,,,
588.22996,0.00021,588.229873,7e-06,69,L12239,,,,,,,,,
588.246,0.0003,588.245909,3e-06,110,L3552,,,,,,,,,
588.40331,6e-05,588.403277,7e-06,150,L5951,,,,,,,,,
588.55,5e-05,588.549919,4e-06,250,L5951,,,,,,,,,
588.570154,4e-06,588.570155,3e-06,5200,L18702,,,,,,,,,
588.65314,1.7e-05,588.653128,6e-06,690,L18702,,,,,,,,,
588.684,0.0003,588.683615,2.4e-05,11,L12239,,,,,,,,,
588.7919,0.0003,588.791856,2.1e-05,87,L3552,,,,,,,,,
589.00167,7e-05,589.001734,9e-06,94,L5951,,,,,,,,,
589.0565,0.0003,589.05668,3e-05,22,L12239,,,,,,,,,
589.145099,4e-06,589.145094,4e-06,3400,L18702,,,,,,,,,
589.167,0.0003,589.166935,1.4e-05,54,L3552,,,,,,,,,
589.1774,0.0003,589.177835,5e-06,54,L3552,,,,,,,,,
589.24327,5e-05,589.243282,1.1e-05,190,L5951,,,,,,,,,
589.278,0.0003,589.278007,1.1e-05,87,L3552,,,,,,,,,
589.3029,0.0003,589.301788,2.1e-05,10,L12239,,,,,,,,,
589.31932,0.00017,589.319193,9e-06,130,L12239,,,,,,,,,
589.46978,3e-05,589.469673,7e-06,400,L5951,,,,,,,,,
589.5053,0.0003,589.50523,1.8e-05,110,L3552,,,,,,,,,
589.528181,2.1e-05,589.528184,7e-06,540,L18702,,,,,,,,,
