obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"731.687"	"731.6867+"	"20"	"2.5e+05"	C+		
"731.994"	"731.993+"	"15"	""			
"732.1452"	"732.1449+"	"80"	""			
"732.305"	"732.308+"	"2"	""			
"733.6480"	"733.6477+"	"50"	""			
"735.558"	"735.5565+"	"40"	""			
"738.257"	"738.26+"	"30"	""			
"738.6003"	"738.6004+"	"100"	"1.25e+06"	B+		
"739.3793"	"739.3794+"	"150"	"4.89e+06"	B		
"740.041"	"740.0398+"	"30"	""			
"740.451"	"740.4505+"	"12"	""			
"740.577"	"740.576+"	"3"	""			
"742.405"	"742.4037+"	"20"	"8.60e+05"	B		
"744.194"	"744.1938+"	"20"	"4.7e+05"	C		
"745.100"	"745.0986+"	"25"	""			
"747.201"	"747.1992+"	"40"	""			
"747.401"	"747.3989+"	"25"	""			
"749.223"	"749.2221+"	"20"	""			
"750.113"	"750.1118+"	"20"	""			
"751.454"	"751.4524+"	"8"	""			
"751.496"	"751.4950+"	"3"	"2.1e+05"	C		
"755.979"	"755.9772+"	"40"	""			
"757.093"	"757.0898+"	"6"	""			
"758.429"	"758.4262+"	"10"	""			
"758.4680"	"758.4678+"	"200"	""			
"758.961"	"758.9625+"	"6"	""			
"759.436"	"759.433+"	"1"	""			
"760.077"	"760.076+"	"10"	""			
"760.497"	"760.4924+"	"2h"	""			
"760.846"	"760.842+"	"5"	""			
"760.982"	"760.983+"	"3"	""			
"764.2024"	"764.2023+"	"500"	"2.1e+07"	C+		
"764.230"	"764.2443+"	""	""			
"764.391"	"764.3904+"	"100"	""			
"766.402"	"766.4008+"	"10"	""			
"766.456"	"766.4545+"	"30"	""			
"766.661"	"766.6646+"	"10"	""			
"767.081"	"767.0794+"	"1"	""			
"774.031"	"774.0312+"	"40"	""			
"776.215"	"776.21+"	"4"	""			
"778.366"	"778.3624+"	"50"	""			
"778.942"	"778.9404+"	"15"	""			
"779.053"	"779.0508+"	"1"	""			
"780.2651"	"780.2649+"	"100"	"2.28e+06"	B+		
"780.464"	"780.4639+"	"10"	""			
"782.555"	"782.53+"	"30"	""			
"783.298"	"783.2987+"	"10"	""			
"784.123"	"784.1220+"	"15"	""			
"788.1320"	"788.1320+"	"100"	"5.50e+05"	B+		
"788.7393"	"788.7393+"	"300"	"3.5e+07"	C+		
"793.741"	"793.7427+"	"40"	""			
"795.422"	"795.4200+"	"4"	""			
"796.7342"	"796.7338+"	"500"	"3.4e+06"	D+		
"797.603"	"797.6042+"	"8"	""			
"800.326"	"800.3279+"	"10"	""			
"800.959"	"801.02+"	"30"	""			
"802.967"	"802.9622+"	"100*"	""			
"802.967"	"802.9672+"	"100*"	""			
"804.056"	"804.0558+"	"10"	""			
"804.218"	"804.2175+"	"15"	""			
"805.7258"	"805.7256+"	"200"	""			
"806.1339"	"806.1339+"	"150"	"2.59e+06"	B+		
"806.494"	"806.5026+"	"2"	""			
"807.399"	"807.4012+"	"1"	""			
"809.724"	"809.7269+"	"3"	""			
